feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
tumor_E_original_firstorder_Maximum_std,tumor,E,firstorder,Maximum,std,2e-06,9e-06,2e-06,3e-06,3.852,479,479.0,469.0,504.0,0.0,0.0,-0.0251,0.706512,higher feature -> lower survival_target
vessels_H_original_firstorder_Range_mean,vessels,H,firstorder,Range,mean,2e-06,7e-06,2e-06,3e-06,3.041,480,489.0,469.0,504.0,0.0,0.0,-0.0003,0.996044,higher feature -> lower survival_target
tumor_E_original_firstorder_Range_std,tumor,E,firstorder,Range,std,2e-06,9e-06,1e-06,3e-06,4.339,481,483.0,469.0,504.0,0.0,0.0,-0.0251,0.706512,higher feature -> lower survival_target
vessels_H_original_firstorder_Maximum_mean,vessels,H,firstorder,Maximum,mean,2e-06,5e-06,2e-06,2e-06,2.536,482,496.0,469.0,504.0,0.0,0.0,-0.0003,0.996044,higher feature -> lower survival_target
vessels_H_original_firstorder_Maximum_std,vessels,H,firstorder,Maximum,std,2e-06,5e-06,2e-06,2e-06,2.672,483,496.0,469.0,504.0,0.0,0.0,-0.0004,0.995074,higher feature -> lower survival_target
vessels_H_original_firstorder_Range_std,vessels,H,firstorder,Range,std,2e-06,5e-06,2e-06,2e-06,2.511,484,488.0,469.0,504.0,0.0,0.0,-0.0004,0.995074,higher feature -> lower survival_target
lamina_E_original_firstorder_Maximum_mean,lamina,E,firstorder,Maximum,mean,1e-06,5e-06,1e-06,2e-06,3.889,485,485.0,469.0,503.0,0.0,0.0,0.0681,0.305566,higher feature -> higher survival_target
lamina_E_original_firstorder_Range_std,lamina,E,firstorder,Range,std,1e-06,5e-06,1e-06,2e-06,4.31,486,484.0,469.0,504.0,0.0,0.0,-0.0681,0.305566,higher feature -> lower survival_target
lamina_E_original_firstorder_Range_mean,lamina,E,firstorder,Range,mean,1e-06,4e-06,1e-06,2e-06,3.646,487,484.0,470.0,503.0,0.0,0.0,0.0681,0.305566,higher feature -> higher survival_target
lamina_E_original_firstorder_Maximum_std,lamina,E,firstorder,Maximum,std,1e-06,6e-06,1e-06,2e-06,4.995,488,485.0,470.0,503.0,0.0,0.0,-0.0681,0.305566,higher feature -> lower survival_target
immune_E_original_firstorder_Maximum_std,immune,E,firstorder,Maximum,std,0.0,3e-06,-0.0,0.0,19.864,489,494.0,473.0,504.0,0.0,0.0,-0.0309,0.642378,higher feature -> lower survival_target
immune_E_original_firstorder_Range_std,immune,E,firstorder,Range,std,0.0,1e-06,0.0,0.0,10.489,490,496.0,473.0,504.0,0.0,0.0,-0.0309,0.642378,higher feature -> lower survival_target
immune_E_original_firstorder_Range_mean,immune,E,firstorder,Range,mean,0.0,1e-06,0.0,0.0,10.965,491,495.0,473.0,503.0,0.0,0.0,0.0309,0.642378,higher feature -> higher survival_target
