feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
tdlu_H_original_firstorder_RobustMeanAbsoluteDeviation_std,tdlu,H,firstorder,RobustMeanAbsoluteDeviation,std,0.003915,0.001656,0.003812,0.004017,0.423,33,45.0,10.0,222.2,16.4,54.4,-0.2434,0.0,higher feature -> lower survival_target
stroma_H_original_firstorder_Mean_std,stroma,H,firstorder,Mean,std,0.003713,0.001602,0.003613,0.003812,0.431,34,50.0,10.0,228.0,13.8,50.7,-0.2191,0.0,higher feature -> lower survival_target
stroma_H_original_firstorder_RootMeanSquared_std,stroma,H,firstorder,RootMeanSquared,std,0.003646,0.001567,0.003549,0.003744,0.43,35,52.0,11.0,228.0,13.6,48.2,-0.2249,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_Entropy_std,tils,H,firstorder,Entropy,std,0.003631,0.001757,0.003522,0.00374,0.484,36,56.5,11.0,251.0,13.3,45.6,-0.2188,0.0,higher feature -> lower survival_target
muscle_E_original_firstorder_Mean_std,muscle,E,firstorder,Mean,std,0.003599,0.001514,0.003505,0.003693,0.421,37,52.0,12.0,251.0,12.6,48.2,-0.2237,0.0,higher feature -> lower survival_target
dcis_H_original_firstorder_InterquartileRange_std,dcis,H,firstorder,InterquartileRange,std,0.003556,0.001767,0.003446,0.003665,0.497,38,57.5,9.0,292.0,13.4,44.7,-0.1323,0.000822,higher feature -> lower survival_target
stroma_H_original_firstorder_Variance_std,stroma,H,firstorder,Variance,std,0.003535,0.001543,0.003439,0.00363,0.437,39,58.0,11.0,224.0,12.0,44.0,-0.225,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Skewness_std,adipose,E,firstorder,Skewness,std,0.003433,0.001788,0.003322,0.003544,0.521,40,63.0,10.0,283.1,10.7,41.7,-0.1336,0.000734,higher feature -> lower survival_target
adipose_H_original_firstorder_Skewness_mean,adipose,H,firstorder,Skewness,mean,0.003413,0.001284,0.003334,0.003493,0.376,41,57.5,12.0,210.0,8.0,43.5,-0.1869,2e-06,higher feature -> lower survival_target
stroma_H_original_firstorder_Energy_std,stroma,H,firstorder,Energy,std,0.003391,0.001374,0.003306,0.003476,0.405,42,59.0,12.0,232.1,8.4,41.5,-0.2106,0.0,higher feature -> lower survival_target
stroma_H_original_firstorder_TotalEnergy_std,stroma,H,firstorder,TotalEnergy,std,0.003385,0.001369,0.0033,0.00347,0.405,43,60.0,12.0,228.1,7.7,42.0,-0.2106,0.0,higher feature -> lower survival_target
tdlu_E_original_firstorder_RootMeanSquared_std,tdlu,E,firstorder,RootMeanSquared,std,0.003378,0.001474,0.003287,0.00347,0.436,44,58.0,12.0,260.0,10.6,42.4,-0.198,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Median_mean,adipose,E,firstorder,Median,mean,0.003345,0.000915,0.003288,0.003401,0.274,45,53.0,19.0,159.1,3.0,46.1,-0.0081,0.837839,higher feature -> lower survival_target
muscle_E_original_firstorder_RootMeanSquared_std,muscle,E,firstorder,RootMeanSquared,std,0.003296,0.00133,0.003213,0.003378,0.403,46,62.0,14.0,248.0,6.8,39.5,-0.2133,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Kurtosis_mean,adipose,H,firstorder,Kurtosis,mean,0.003257,0.001224,0.003181,0.003333,0.376,47,62.5,12.0,216.0,7.7,37.8,-0.1763,8e-06,higher feature -> lower survival_target
tdlu_E_original_firstorder_Mean_std,tdlu,E,firstorder,Mean,std,0.003256,0.001446,0.003166,0.003345,0.444,48,65.0,12.0,292.0,7.7,38.0,-0.1928,1e-06,higher feature -> lower survival_target
tdlu_H_original_firstorder_Skewness_std,tdlu,H,firstorder,Skewness,std,0.00325,0.00132,0.003168,0.003332,0.406,49,65.5,13.0,232.1,7.9,35.6,-0.1663,2.5e-05,higher feature -> lower survival_target
stroma_H_original_firstorder_Median_std,stroma,H,firstorder,Median,std,0.003191,0.001331,0.003108,0.003273,0.417,50,67.0,14.0,277.0,7.4,35.0,-0.2024,0.0,higher feature -> lower survival_target
muscle_E_original_firstorder_Variance_std,muscle,E,firstorder,Variance,std,0.003154,0.001322,0.003072,0.003236,0.419,51,70.0,13.0,261.1,7.5,34.9,-0.2046,0.0,higher feature -> lower survival_target
dcis_E_original_firstorder_MeanAbsoluteDeviation_std,dcis,E,firstorder,MeanAbsoluteDeviation,std,0.003133,0.001376,0.003047,0.003218,0.439,52,69.0,13.0,311.0,7.5,34.0,-0.193,1e-06,higher feature -> lower survival_target
muscle_E_original_firstorder_RobustMeanAbsoluteDeviation_std,muscle,E,firstorder,RobustMeanAbsoluteDeviation,std,0.00304,0.001229,0.002964,0.003116,0.404,53,76.0,16.0,262.1,5.8,31.4,-0.2089,0.0,higher feature -> lower survival_target
stroma_H_original_firstorder_InterquartileRange_std,stroma,H,firstorder,InterquartileRange,std,0.003024,0.001378,0.002938,0.003109,0.456,54,77.0,13.0,321.0,6.4,30.7,-0.1986,0.0,higher feature -> lower survival_target
tdlu_E_original_firstorder_Median_std,tdlu,E,firstorder,Median,std,0.003023,0.001269,0.002945,0.003102,0.42,55,77.0,15.0,301.0,5.1,31.4,-0.1872,2e-06,higher feature -> lower survival_target
stroma_H_original_firstorder_RobustMeanAbsoluteDeviation_std,stroma,H,firstorder,RobustMeanAbsoluteDeviation,std,0.002993,0.001372,0.002908,0.003078,0.458,56,79.0,14.0,316.0,5.7,30.3,-0.2024,0.0,higher feature -> lower survival_target
dcis_E_original_firstorder_Median_mean,dcis,E,firstorder,Median,mean,0.002988,0.001245,0.00291,0.003065,0.417,57,79.0,16.0,290.0,5.0,31.1,0.1191,0.00263,higher feature -> higher survival_target
adipose_H_original_firstorder_Median_mean,adipose,H,firstorder,Median,mean,0.002983,0.00121,0.002908,0.003058,0.406,58,76.0,16.0,273.0,5.7,31.1,0.1153,0.003601,higher feature -> higher survival_target
muscle_E_original_firstorder_Energy_std,muscle,E,firstorder,Energy,std,0.002946,0.001177,0.002873,0.003019,0.4,59,78.5,17.0,300.0,4.9,28.9,-0.2084,0.0,higher feature -> lower survival_target
muscle_E_original_firstorder_TotalEnergy_std,muscle,E,firstorder,TotalEnergy,std,0.002946,0.001175,0.002873,0.003019,0.399,60,79.0,18.0,287.0,4.1,27.7,-0.2084,0.0,higher feature -> lower survival_target
muscle_E_original_firstorder_InterquartileRange_std,muscle,E,firstorder,InterquartileRange,std,0.002921,0.001253,0.002843,0.002998,0.429,61,86.0,15.0,296.0,5.0,27.7,-0.2052,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_Variance_mean,tils,H,firstorder,Variance,mean,0.002913,0.001266,0.002834,0.002991,0.435,62,81.5,15.0,278.0,4.8,26.8,-0.1641,3.2e-05,higher feature -> lower survival_target
tils_E_original_firstorder_Median_mean,tils,E,firstorder,Median,mean,0.002905,0.00093,0.002847,0.002963,0.32,63,72.0,21.0,254.0,2.1,28.3,0.1087,0.006072,higher feature -> higher survival_target
vessels_E_original_firstorder_RobustMeanAbsoluteDeviation_std,vessels,E,firstorder,RobustMeanAbsoluteDeviation,std,0.002872,0.001156,0.002801,0.002944,0.403,64,85.0,16.0,261.0,4.4,25.6,-0.1878,2e-06,higher feature -> lower survival_target
stroma_E_original_firstorder_RootMeanSquared_std,stroma,E,firstorder,RootMeanSquared,std,0.002828,0.001253,0.00275,0.002905,0.443,65,89.0,15.0,330.0,4.5,25.9,-0.191,1e-06,higher feature -> lower survival_target
dcis_E_original_firstorder_Mean_mean,dcis,E,firstorder,Mean,mean,0.002827,0.001239,0.00275,0.002904,0.438,66,85.5,16.0,357.0,4.2,26.3,0.0981,0.013344,higher feature -> higher survival_target
dcis_E_original_firstorder_RobustMeanAbsoluteDeviation_std,dcis,E,firstorder,RobustMeanAbsoluteDeviation,std,0.002807,0.001173,0.002735,0.00288,0.418,67,87.5,18.0,330.1,3.4,24.3,-0.1722,1.3e-05,higher feature -> lower survival_target
vessels_H_original_firstorder_MeanAbsoluteDeviation_std,vessels,H,firstorder,MeanAbsoluteDeviation,std,0.002789,0.001438,0.0027,0.002878,0.516,68,95.0,15.0,395.0,6.2,27.8,-0.2062,0.0,higher feature -> lower survival_target
vessels_E_original_firstorder_Entropy_std,vessels,E,firstorder,Entropy,std,0.002753,0.001368,0.002668,0.002838,0.497,69,97.0,17.0,352.1,4.2,23.2,-0.1689,1.8e-05,higher feature -> lower survival_target
tdlu_E_original_firstorder_90Percentile_std,tdlu,E,firstorder,90Percentile,std,0.002729,0.00108,0.002662,0.002796,0.396,70,93.5,19.0,306.0,3.6,23.2,-0.1779,6e-06,higher feature -> lower survival_target
tdlu_H_original_firstorder_Variance_std,tdlu,H,firstorder,Variance,std,0.002728,0.001119,0.002658,0.002797,0.41,71,97.0,19.0,316.1,3.1,22.9,-0.2032,0.0,higher feature -> lower survival_target
dcis_H_original_firstorder_RobustMeanAbsoluteDeviation_std,dcis,H,firstorder,RobustMeanAbsoluteDeviation,std,0.002722,0.001257,0.002645,0.0028,0.462,72,94.5,16.0,338.0,3.9,22.0,-0.0941,0.017652,higher feature -> lower survival_target
muscle_E_original_firstorder_MeanAbsoluteDeviation_std,muscle,E,firstorder,MeanAbsoluteDeviation,std,0.002672,0.001022,0.002609,0.002736,0.383,73,97.5,21.0,291.0,2.5,21.3,-0.2023,0.0,higher feature -> lower survival_target
