slide,case,compartment,n_tiles,n_tiles_top1_ge_0.50
TCGA-4Z-AA80-01Z-00-DX1.303549D2-42A5-46C4-AD9D-D72337B416E5_tiles.jsonl,TCGA-4Z-AA80,Invasive urothelial carcinoma (tumor),46160,45602
TCGA-4Z-AA80-01Z-00-DX1.303549D2-42A5-46C4-AD9D-D72337B416E5_tiles.jsonl,TCGA-4Z-AA80,Lamina propria (fibrovascular stroma),13834,12969
TCGA-4Z-AA80-01Z-00-DX1.303549D2-42A5-46C4-AD9D-D72337B416E5_tiles.jsonl,TCGA-4Z-AA80,Muscularis propria (detrusor muscle),6565,5765
TCGA-4Z-AA80-01Z-00-DX1.303549D2-42A5-46C4-AD9D-D72337B416E5_tiles.jsonl,TCGA-4Z-AA80,Necrosis,3217,3017
TCGA-4Z-AA80-01Z-00-DX1.303549D2-42A5-46C4-AD9D-D72337B416E5_tiles.jsonl,TCGA-4Z-AA80,Normal urothelium (benign mucosa),3905,3573
TCGA-4Z-AA80-01Z-00-DX1.303549D2-42A5-46C4-AD9D-D72337B416E5_tiles.jsonl,TCGA-4Z-AA80,Perivesical adipose tissue (extravesical fat),2110,2017
TCGA-4Z-AA81-01Z-00-DX1.797432E9-56C6-4142-9AA4-233D7C565BF1_tiles.jsonl,TCGA-4Z-AA81,Blood vessels (vasculature),5946,5491
TCGA-4Z-AA81-01Z-00-DX1.797432E9-56C6-4142-9AA4-233D7C565BF1_tiles.jsonl,TCGA-4Z-AA81,Inflammatory infiltrates (immune cells),160,102
TCGA-4Z-AA81-01Z-00-DX1.797432E9-56C6-4142-9AA4-233D7C565BF1_tiles.jsonl,TCGA-4Z-AA81,Invasive urothelial carcinoma (tumor),19872,19411
TCGA-4Z-AA81-01Z-00-DX1.797432E9-56C6-4142-9AA4-233D7C565BF1_tiles.jsonl,TCGA-4Z-AA81,Lamina propria (fibrovascular stroma),3262,2874
TCGA-4Z-AA81-01Z-00-DX1.797432E9-56C6-4142-9AA4-233D7C565BF1_tiles.jsonl,TCGA-4Z-AA81,Muscularis propria (detrusor muscle),2774,2331
TCGA-4Z-AA81-01Z-00-DX1.797432E9-56C6-4142-9AA4-233D7C565BF1_tiles.jsonl,TCGA-4Z-AA81,Necrosis,8078,7796
TCGA-4Z-AA81-01Z-00-DX1.797432E9-56C6-4142-9AA4-233D7C565BF1_tiles.jsonl,TCGA-4Z-AA81,Normal urothelium (benign mucosa),1298,1126
TCGA-4Z-AA81-01Z-00-DX1.797432E9-56C6-4142-9AA4-233D7C565BF1_tiles.jsonl,TCGA-4Z-AA81,Perivesical adipose tissue (extravesical fat),4690,4417
TCGA-4Z-AA82-01Z-00-DX1.D18C9339-88DE-48E7-9D75-1ACB95483F7D_tiles.jsonl,TCGA-4Z-AA82,Blood vessels (vasculature),10131,9381
TCGA-4Z-AA82-01Z-00-DX1.D18C9339-88DE-48E7-9D75-1ACB95483F7D_tiles.jsonl,TCGA-4Z-AA82,Inflammatory infiltrates (immune cells),2222,1808
TCGA-4Z-AA82-01Z-00-DX1.D18C9339-88DE-48E7-9D75-1ACB95483F7D_tiles.jsonl,TCGA-4Z-AA82,Invasive urothelial carcinoma (tumor),14445,13768
TCGA-4Z-AA82-01Z-00-DX1.D18C9339-88DE-48E7-9D75-1ACB95483F7D_tiles.jsonl,TCGA-4Z-AA82,Lamina propria (fibrovascular stroma),18152,16278
TCGA-4Z-AA82-01Z-00-DX1.D18C9339-88DE-48E7-9D75-1ACB95483F7D_tiles.jsonl,TCGA-4Z-AA82,Muscularis propria (detrusor muscle),16432,14405
TCGA-4Z-AA82-01Z-00-DX1.D18C9339-88DE-48E7-9D75-1ACB95483F7D_tiles.jsonl,TCGA-4Z-AA82,Necrosis,161,148
TCGA-4Z-AA82-01Z-00-DX1.D18C9339-88DE-48E7-9D75-1ACB95483F7D_tiles.jsonl,TCGA-4Z-AA82,Normal urothelium (benign mucosa),2435,2034
TCGA-4Z-AA82-01Z-00-DX1.D18C9339-88DE-48E7-9D75-1ACB95483F7D_tiles.jsonl,TCGA-4Z-AA82,Perivesical adipose tissue (extravesical fat),7702,7227
TCGA-4Z-AA83-01Z-00-DX1.432ADCAA-36B5-4F9F-B4AE-6D755805FEF5_tiles.jsonl,TCGA-4Z-AA83,Blood vessels (vasculature),15002,13878
TCGA-4Z-AA83-01Z-00-DX1.432ADCAA-36B5-4F9F-B4AE-6D755805FEF5_tiles.jsonl,TCGA-4Z-AA83,Inflammatory infiltrates (immune cells),276,212
TCGA-4Z-AA83-01Z-00-DX1.432ADCAA-36B5-4F9F-B4AE-6D755805FEF5_tiles.jsonl,TCGA-4Z-AA83,Invasive urothelial carcinoma (tumor),14111,13792
TCGA-4Z-AA83-01Z-00-DX1.432ADCAA-36B5-4F9F-B4AE-6D755805FEF5_tiles.jsonl,TCGA-4Z-AA83,Lamina propria (fibrovascular stroma),8329,7031
TCGA-4Z-AA83-01Z-00-DX1.432ADCAA-36B5-4F9F-B4AE-6D755805FEF5_tiles.jsonl,TCGA-4Z-AA83,Muscularis propria (detrusor muscle),7660,6261
TCGA-4Z-AA83-01Z-00-DX1.432ADCAA-36B5-4F9F-B4AE-6D755805FEF5_tiles.jsonl,TCGA-4Z-AA83,Necrosis,351,328
TCGA-4Z-AA83-01Z-00-DX1.432ADCAA-36B5-4F9F-B4AE-6D755805FEF5_tiles.jsonl,TCGA-4Z-AA83,Normal urothelium (benign mucosa),10276,8999
TCGA-4Z-AA83-01Z-00-DX1.432ADCAA-36B5-4F9F-B4AE-6D755805FEF5_tiles.jsonl,TCGA-4Z-AA83,Perivesical adipose tissue (extravesical fat),5435,4985
TCGA-4Z-AA84-01Z-00-DX1.604B60F3-1E19-4335-9F8D-0D6920B1ACF8_tiles.jsonl,TCGA-4Z-AA84,Blood vessels (vasculature),5281,4807
