feature,region,coef,hr,p,q
necrosis_H_original_firstorder_TotalEnergy_mean,necrosis,0.13233005851126792,1.1414850139425101,0.07206308972474831,0.38115170924839975
vessels_H_original_glcm_ClusterTendency_mean,vessels,0.13140674993963622,1.1404315574522905,0.07215679877277667,0.38115170924839975
adipose_E_original_glcm_ClusterShade_mean,adipose,-0.14473769634821818,0.8652492213778524,0.07239825437029243,0.38115170924839975
vessels_H_original_firstorder_Variance_mean,vessels,0.1322014941424412,1.14133826907545,0.07268249380491784,0.38115170924839975
lamina_E_original_firstorder_InterquartileRange_std,lamina,-0.14117272875145448,0.8683393115782464,0.07337732985967148,0.38115170924839975
adipose_E_original_glcm_ClusterShade_std,adipose,-0.15261807728791454,0.8584575236355655,0.0734150604908589,0.38115170924839975
muscularis_H_original_glcm_ClusterShade_std,muscularis,0.12284920996607827,1.1307139077034651,0.07345344338042016,0.38115170924839975
tumor_H_original_glcm_SumEntropy_mean,tumor,0.14273770118271217,1.1534272193887853,0.07439264725296303,0.38209197956939334
immune_E_original_firstorder_10Percentile_std,immune,0.133298664153064,1.142591198408813,0.07471024532364083,0.38209197956939334
immune_H_original_firstorder_Kurtosis_mean,immune,-0.16324721558535943,0.8493811821911055,0.07577363761816608,0.38209197956939334
lamina_H_original_firstorder_Skewness_std,lamina,-0.2189590914688359,0.8033545815373602,0.07585612130402912,0.38209197956939334
adipose_E_original_firstorder_MeanAbsoluteDeviation_std,adipose,-0.143548825988802,0.8662785022501835,0.07630151155216061,0.38209197956939334
urothelium_E_original_glcm_JointEntropy_mean,urothelium,0.1450015806550482,1.1560413975692485,0.0763285975638036,0.38209197956939334
adipose_E_original_firstorder_RobustMeanAbsoluteDeviation_std,adipose,-0.1447491245831844,0.8652393331629487,0.07696534977111483,0.38302638979660064
urothelium_E_original_glcm_SumEntropy_mean,urothelium,0.14495857852468547,1.1559916863952162,0.07862212599196326,0.38899668150674843
vessels_E_original_glcm_Contrast_mean,vessels,0.1494048421032648,1.1611429736315615,0.08026406822208042,0.39283195921657527
tumor_H_original_firstorder_Entropy_mean,tumor,0.1389076577662186,1.1490179922165091,0.08056568850058318,0.39283195921657527
tumor_E_original_glcm_DifferenceVariance_mean,tumor,0.14093704945492508,1.1513521674569092,0.08111091296900755,0.39283195921657527
necrosis_H_original_firstorder_RootMeanSquared_mean,necrosis,0.13356498081956086,1.142895530010432,0.08124374244667126,0.39283195921657527
necrosis_H_original_glcm_Autocorrelation_mean,necrosis,0.12799864085343637,1.136551457956002,0.08347409398309218,0.40025488718822033
tumor_E_original_glcm_Contrast_mean,tumor,0.1381731783434994,1.1481743719936641,0.08371958862456312,0.40025488718822033
lamina_H_original_glcm_JointEntropy_mean,lamina,0.1319808285772983,1.141086442807,0.08476199330628116,0.4020392683988834
adipose_E_original_glcm_ClusterTendency_mean,adipose,-0.14368141388702088,0.8661636518183549,0.08559528207721397,0.4020392683988834
vessels_H_original_firstorder_10Percentile_std,vessels,-0.1494021867098929,0.8612226729231408,0.08590028199248566,0.4020392683988834
urothelium_E_original_firstorder_RootMeanSquared_std,urothelium,-0.13992849682209746,0.8694203994978114,0.08598254623806907,0.4020392683988834
vessels_E_original_glcm_JointEntropy_std,vessels,-0.13437503301902703,0.8742621259487503,0.08675072353341062,0.40341456681383847
tumor_E_original_glcm_DifferenceAverage_mean,tumor,0.13836749787554292,1.1483975063793168,0.0878017157722139,0.404593562330633
lamina_H_original_firstorder_Kurtosis_mean,lamina,-0.14829860342540246,0.8621736285020298,0.08795512224578977,0.404593562330633
urothelium_E_original_glcm_Imc2_mean,urothelium,0.1443061513215539,1.1552377319493574,0.08931590837366457,0.4069204813578582
tumor_E_original_glcm_DifferenceEntropy_mean,tumor,0.1410037297672741,1.1514289425387236,0.08941730906453524,0.4069204813578582
urothelium_E_original_firstorder_Entropy_mean,urothelium,0.1393307037992888,1.1495041825532382,0.09068613068269571,0.410499453249862
lamina_H_original_glcm_SumEntropy_mean,lamina,0.1296016110862408,1.1383747770838792,0.09203293437216988,0.4143916780461194
immune_H_original_firstorder_Median_mean,immune,0.11762200799404299,1.1248188584646575,0.09276807479312126,0.4147465885185865
necrosis_H_original_glcm_JointEnergy_mean,necrosis,-0.13480654336251294,0.8738849541810975,0.09308648461462987,0.4147465885185865
immune_H_original_glcm_SumEntropy_std,immune,-0.13632135572311924,0.8725621845775707,0.0943093708566954,0.4180066385367072
vessels_E_original_glcm_Imc2_std,vessels,-0.13261797703351277,0.8757996037718152,0.09508882755113614,0.4192776800311754
vessels_E_original_firstorder_Kurtosis_std,vessels,-0.16188563633833794,0.8505384696721048,0.09675240624587464,0.42441390574865623
adipose_E_original_glcm_SumSquares_mean,adipose,-0.13782810937424228,0.8712484383146663,0.09830733319288269,0.4290232848571444
immune_H_original_glcm_JointEntropy_std,immune,-0.1319099862122553,0.8764198814020714,0.09979909271456133,0.42987274752342486
vessels_E_original_glcm_SumEntropy_std,vessels,-0.13019199918249688,0.8779268534995517,0.09989521531611958,0.42987274752342486
adipose_E_original_firstorder_90Percentile_std,adipose,-0.13537284427454707,0.873390212434105,0.10016731813545345,0.42987274752342486
urothelium_H_original_firstorder_Entropy_std,urothelium,-0.1304902063191839,0.8776650884783875,0.1008722217062352,0.42987274752342486
adipose_E_original_glcm_ClusterProminence_std,adipose,-0.13928892111928035,0.8699766375200647,0.10110925763386551,0.42987274752342486
